,Allen A. Aigbogun,Cam Gordon,writeIns
first_choice,408.00,2260.00,21.00
Allen A. Aigbogun,,311.00,1.00
Cam Gordon,113.00,,7.00
writeIns,13.00,30.00,
exhaust,282.00,1919.00,13.00
