,GEORGE BEIER,JACQUELYN MCCORMICK,LORI DROSTE,MIKE ALVAREZ COHEN
first_choice,26.52,18.53,29.17,25.79
GEORGE BEIER,,38.95,29.81,47.56
JACQUELYN MCCORMICK,26.13,,33.30,18.07
LORI DROSTE,36.30,41.93,,34.37
MIKE ALVAREZ COHEN,37.57,19.12,36.89,
