,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE
first_choice,18.42,21.67,14.03,5.68,40.20
BEN MATRANGA,,33.60,24.58,16.72,20.52
JOEL ENGARDIO,27.84,,19.12,16.52,18.72
JOHN FARRELL,27.69,19.69,,30.34,12.44
MIKE YOUNG,10.93,9.27,26.70,,12.84
NORMAN YEE,17.90,21.22,14.53,24.60,
exhaust,15.65,16.22,15.08,11.83,35.48
