,Bob Kiss,Hinda Miller,Kevin Curley,Louie the Cowman Beaudin,Loyal Ploof,writeIns
first_choice,38.95,31.77,26.68,1.22,0.58,0.80
Bob Kiss,,54.51,25.87,23.53,31.58,37.18
Hinda Miller,55.42,,27.56,15.13,28.07,15.38
Kevin Curley,18.59,21.22,,25.21,15.79,24.36
Louie the Cowman Beaudin,5.17,3.51,10.96,,15.79,8.97
Loyal Ploof,6.62,2.83,3.95,7.56,,3.85
writeIns,2.26,0.61,2.18,1.68,0.00,
exhaust,11.95,17.32,29.47,26.89,8.77,10.26
