,Billy Menz,Chris Meyer,Mohamed Issa Barre,writeIns
first_choice,35.45,44.45,19.53,0.57
Billy Menz,,70.28,46.63,44.44
Chris Meyer,68.13,,52.38,33.33
Mohamed Issa Barre,31.33,29.12,,22.22
writeIns,0.54,0.60,0.99,
