,Andy Montroll,Bob Kiss,Dan Smith,James Simpson,Kurt Wright,writeIns
first_choice,22.98,28.80,14.55,0.39,32.88,0.40
Andy Montroll,,58.48,38.07,12.50,40.22,50.00
Bob Kiss,39.63,,30.12,43.75,13.31,23.08
Dan Smith,34.06,25.28,,28.12,41.83,7.69
James Simpson,3.29,5.27,4.06,,3.69,0.00
Kurt Wright,22.49,10.36,27.66,12.50,,19.23
writeIns,0.53,0.62,0.08,3.12,0.95,
