,Abdi Warsame,Fadumo Yusuf,Mohamud Noor,Tiffini Forslund,writeIns
first_choice,50.17,2.53,46.86,0.08,0.36
Abdi Warsame,,20.22,32.98,0.00,7.69
Fadumo Yusuf,2.89,,4.93,16.67,0.00
Mohamud Noor,21.03,23.50,,66.67,19.23
Tiffini Forslund,0.00,0.00,0.06,,0.00
writeIns,0.25,3.83,0.71,0.00,
exhaust,75.83,52.46,61.33,16.67,73.08
