,Janne Flisrand,Joe Kovacs,Lisa Goodman,Teqen Zéa-Aida,writeIns
first_choice,2834.00,602.00,4751.00,889.00,14.00
Janne Flisrand,,93.00,1718.00,419.00,2.00
Joe Kovacs,103.00,,385.00,28.00,1.00
Lisa Goodman,995.00,216.00,,306.00,3.00
Teqen Zéa-Aida,1206.00,40.00,706.00,,0.00
writeIns,7.00,16.00,15.00,5.00,
exhaust,523.00,237.00,1927.00,131.00,8.00
