,AHSHA SAFAI,BERTA HERNANDEZ,FRANCISCO HERRERA,KIM ALVARENGA,MAGDALENA DE GUZMAN
first_choice,37.30,6.33,10.32,34.16,11.90
AHSHA SAFAI,,16.04,16.66,31.94,20.66
BERTA HERNANDEZ,12.63,,29.54,15.49,29.38
FRANCISCO HERRERA,19.31,30.56,,35.61,30.67
KIM ALVARENGA,44.63,20.21,23.73,,19.29
MAGDALENA DE GUZMAN,23.43,33.19,30.08,16.96,
