,ANTHONY Di DONATO,JASPER KINGETER,LINDA MAIO,MERRILIE MITCHELL,writeIns
first_choice,3.37,22.42,65.53,8.35,0.33
ANTHONY Di DONATO,,7.75,5.52,12.61,0.00
JASPER KINGETER,34.38,,30.25,43.70,0.00
LINDA MAIO,22.40,37.01,,32.14,0.00
MERRILIE MITCHELL,20.31,35.84,17.72,,5.26
writeIns,1.04,0.31,0.19,0.42,
exhaust,21.88,19.09,46.32,11.13,94.74
