,JENNIFER S. PAE,PATRICIA KERNIGHAN,writeIns
first_choice,33.77,65.68,0.55
JENNIFER S. PAE,,50.67,17.33
PATRICIA KERNIGHAN,49.57,,16.00
writeIns,3.45,1.97,
exhaust,46.98,47.36,66.67
