,DEAN PRESTON,NOMVULA O'MEARA,RYAN LAM,VALLIE BROWN,writeIns
first_choice,47.48,1.17,4.01,47.34,0.00
DEAN PRESTON,,33.98,42.42,67.74,0.00
NOMVULA O'MEARA,15.39,,24.04,12.30,0.00
RYAN LAM,25.53,41.26,,19.96,0.00
VALLIE BROWN,59.08,24.76,33.54,,0.00
writeIns,0.00,0.00,0.00,0.00,
