,MIKE HUTCHINSON,ROSIE TORRES,writeIns
first_choice,4950.00,6005.00,83.00
MIKE HUTCHINSON,,2701.00,8.00
ROSIE TORRES,2559.00,,9.00
writeIns,79.00,119.00,
exhaust,2312.00,3185.00,66.00
