,ADAM KIM,ARTHUR TOM,GORDON MAR,JESSICA HO,LOU ANN BASSAN,MIKE MURPHY,TREVOR MCNEIL,TUAN NGUYEN
first_choice,1.81,8.59,36.29,26.19,7.68,4.16,12.28,3.00
ADAM KIM,,3.15,2.77,5.68,2.15,11.76,2.49,5.28
ARTHUR TOM,13.98,,8.72,14.31,16.22,8.29,8.31,10.43
GORDON MAR,14.37,19.09,,24.73,10.44,15.74,26.65,19.81
JESSICA HO,21.75,19.01,22.14,,16.81,7.53,20.06,16.65
LOU ANN BASSAN,7.18,19.50,3.79,6.82,,13.28,8.51,6.45
MIKE MURPHY,9.90,5.20,11.23,2.98,11.54,,16.56,6.33
TREVOR MCNEIL,11.07,14.42,16.93,16.17,13.83,22.34,,15.12
TUAN NGUYEN,8.74,4.71,4.30,5.86,3.99,3.30,3.35,
exhaust,13.01,14.91,30.11,23.44,25.01,17.77,14.07,19.93
