,Jono Cowgill,Tom Nordyke,writeIns
first_choice,6794.00,6615.00,104.00
Jono Cowgill,,2768.00,11.00
Tom Nordyke,3232.00,,5.00
writeIns,87.00,63.00,
exhaust,3475.00,3784.00,88.00
