,CAT BROOKS,CEDRIC A. TROUPE,JESSE A.J. SMITH,KEN HOUSTON,LIBBY SCHAAF,MARCHON TATMON,NANCY SIDEBOTHAM,PAMELA PRICE,PETER YUAN LIU,SAIED KARAMOOZ
first_choice,40760.00,1128.00,743.00,2640.00,84502.00,2114.00,1766.00,20794.00,1166.00,3005.00
CAT BROOKS,,174.00,98.00,400.00,18346.00,365.00,122.00,8328.00,62.00,1222.00
CEDRIC A. TROUPE,491.00,,71.00,249.00,990.00,110.00,127.00,445.00,43.00,92.00
JESSE A.J. SMITH,318.00,102.00,,103.00,805.00,37.00,66.00,309.00,55.00,66.00
KEN HOUSTON,564.00,116.00,67.00,,1304.00,111.00,154.00,489.00,106.00,74.00
LIBBY SCHAAF,7452.00,90.00,82.00,324.00,,324.00,238.00,5337.00,208.00,406.00
MARCHON TATMON,778.00,65.00,21.00,136.00,1781.00,,128.00,1172.00,53.00,86.00
NANCY SIDEBOTHAM,348.00,80.00,52.00,134.00,2212.00,75.00,,462.00,106.00,166.00
PAMELA PRICE,23755.00,195.00,139.00,389.00,22473.00,525.00,203.00,,95.00,572.00
PETER YUAN LIU,148.00,20.00,32.00,98.00,1241.00,22.00,99.00,136.00,,55.00
SAIED KARAMOOZ,1850.00,82.00,51.00,109.00,2752.00,76.00,157.00,636.00,95.00,
exhaust,5056.00,204.00,130.00,698.00,32598.00,469.00,472.00,3480.00,343.00,266.00
