,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
first_choice,49.90,13.49,36.61
"Crafts, Lydia V.",,48.72,54.79
"Levesque, David J.",31.29,,21.46
"Pieh, Wendy",55.05,35.53,
exhaust,13.66,15.75,23.75
