,BILL FAZIO,DAVID ONEK,GEORGE GASCÓN,SHARMIN BOCK,VU VUONG TRINH
first_choice,10.49,23.65,41.55,20.71,3.59
BILL FAZIO,,7.57,21.49,15.72,10.58
DAVID ONEK,13.71,,12.01,22.49,17.83
GEORGE GASCÓN,29.90,11.85,,29.18,20.13
SHARMIN BOCK,21.09,61.87,29.51,,25.89
VU VUONG TRINH,5.82,3.03,3.75,8.27,
exhaust,29.48,15.68,33.24,24.34,25.56
