,ANDREW ''ELLARD'' RESIGNATO,CHRISTINA OLAGUE,DANIEL EVERETT,HOPE JOHNSON,JOHN RIZZO,JULIAN DAVIS,LONDON BREED,THEA SELBY
first_choice,2.22,19.79,3.74,1.39,16.17,15.20,28.00,13.48
ANDREW ''ELLARD'' RESIGNATO,,2.93,6.22,11.29,2.76,4.05,5.58,6.05
CHRISTINA OLAGUE,9.51,,16.73,12.21,16.15,26.16,23.24,14.04
DANIEL EVERETT,8.79,4.74,,13.13,5.36,5.86,5.87,6.12
HOPE JOHNSON,8.79,3.02,5.76,,1.72,3.48,3.87,6.00
JOHN RIZZO,14.55,24.24,17.73,12.44,,25.38,17.79,27.25
JULIAN DAVIS,15.56,23.48,17.55,13.59,17.38,,21.08,14.96
LONDON BREED,24.35,25.60,21.57,13.59,12.70,20.80,,25.58
THEA SELBY,18.44,15.98,14.44,23.73,43.92,14.26,22.57,
