,CHERYL DAVILA,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE
first_choice,31.03,39.75,29.22
CHERYL DAVILA,,57.37,73.48
DARRYL MOORE,31.11,,26.52
NANCI IRA ARMSTRONG-TEMPLE,68.89,42.63,
