,"DAVID L. ANDERSON, SR.",DEBORAH COX,KENNETH PON,MIKE KATZ-LACABE
first_choice,2048.00,6552.00,3365.00,3480.00
"DAVID L. ANDERSON, SR.",,1029.00,436.00,431.00
DEBORAH COX,592.00,,1384.00,1348.00
KENNETH PON,419.00,1790.00,,894.00
MIKE KATZ-LACABE,340.00,1868.00,677.00,
exhaust,697.00,1865.00,868.00,807.00
