,ADOLFO CABRAL,DARRYL MOORE,DENISHA DELANE,writeIns
first_choice,736.00,3407.00,1631.00,30.00
ADOLFO CABRAL,,475.00,788.00,4.00
DARRYL MOORE,159.00,,545.00,5.00
DENISHA DELANE,436.00,1372.00,,4.00
writeIns,3.00,24.00,5.00,
exhaust,138.00,1536.00,293.00,17.00
