,AARON PESKIN,JULIE CHRISTENSEN,WILMA PANG
first_choice,52.52,43.53,3.95
AARON PESKIN,,36.34,40.31
JULIE CHRISTENSEN,44.23,,59.69
WILMA PANG,55.77,63.66,
