,ABDI ABDULLE,ALONDRA CANO,CHARLES CURTIS,GREGORY MCDONALD,PAT FLEETHAM,TY MOORE,writeIns
first_choice,6.84,40.63,8.09,2.80,3.66,37.54,0.43
ABDI ABDULLE,,19.15,5.53,15.84,9.38,10.70,0.00
ALONDRA CANO,41.41,,35.57,23.76,19.53,64.76,25.00
CHARLES CURTIS,11.72,13.16,,6.93,19.53,12.00,0.00
GREGORY MCDONALD,7.03,6.66,9.09,,31.25,3.82,0.00
PAT FLEETHAM,10.94,13.99,18.97,41.58,,7.26,25.00
TY MOORE,28.12,46.30,30.04,11.88,19.53,,50.00
writeIns,0.78,0.75,0.79,0.00,0.78,1.45,
