,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
first_choice,43.46,24.93,31.62
"Curry, Glenn Chip",,38.98,54.64
"Pattavina, Charles F.",35.35,,33.61
"Stanicki, Robyn M.",43.42,41.26,
exhaust,21.23,19.76,11.74
