,Al Flowers,Bill McGaughey,Bob Carney Jr.,Christopher Clark,Dick Franson,James R. Everett,Joey Lombard,Papa John Kolstad,Phil Willkie,R.T. Rybak,Tom Fiske,writeIns
first_choice,1795.00,232.00,228.00,1337.00,1579.00,357.00,444.00,4953.00,137.00,33234.00,650.00,211.00
Al Flowers,,17.00,8.00,40.00,382.00,88.00,31.00,386.00,11.00,3856.00,100.00,2.00
Bill McGaughey,13.00,,9.00,53.00,27.00,4.00,15.00,152.00,5.00,118.00,15.00,2.00
Bob Carney Jr.,18.00,12.00,,51.00,15.00,10.00,18.00,153.00,10.00,207.00,11.00,0.00
Christopher Clark,41.00,13.00,20.00,,59.00,15.00,45.00,602.00,8.00,498.00,19.00,3.00
Dick Franson,465.00,17.00,15.00,56.00,,22.00,22.00,265.00,5.00,3698.00,29.00,10.00
James R. Everett,79.00,9.00,4.00,39.00,10.00,,9.00,94.00,8.00,285.00,12.00,4.00
Joey Lombard,46.00,10.00,11.00,92.00,28.00,10.00,,193.00,9.00,709.00,38.00,10.00
Papa John Kolstad,187.00,56.00,34.00,259.00,143.00,30.00,47.00,,18.00,2444.00,80.00,45.00
Phil Willkie,7.00,6.00,1.00,14.00,8.00,9.00,14.00,41.00,,55.00,10.00,1.00
R.T. Rybak,407.00,24.00,33.00,153.00,387.00,78.00,106.00,928.00,15.00,,254.00,37.00
Tom Fiske,86.00,6.00,6.00,17.00,30.00,15.00,27.00,200.00,12.00,959.00,,1.00
writeIns,4.00,0.00,2.00,16.00,4.00,0.00,6.00,33.00,1.00,88.00,2.00,
exhaust,442.00,62.00,85.00,547.00,486.00,76.00,104.00,1906.00,35.00,20317.00,80.00,96.00
