,CARMEN CHU,DAVE FERGUSON,RON DUDUM,writeIns
first_choice,52.33,12.35,35.14,0.18
CARMEN CHU,,44.74,49.57,30.43
DAVE FERGUSON,38.31,,50.10,34.78
RON DUDUM,61.49,54.90,,34.78
writeIns,0.20,0.36,0.33,
