,ABEL GUILLÉN,KENZIE DONTE SMITH,NIKKI FORTUNATO BAS
first_choice,8323.00,1349.00,11310.00
ABEL GUILLÉN,,305.00,4584.00
KENZIE DONTE SMITH,1127.00,,3455.00
NIKKI FORTUNATO BAS,3935.00,669.00,
exhaust,3261.00,375.00,3271.00
