,IGOR A. TREGUB,MARGO SCHUELER,MARY BEHM-STEINBERG,RASHI KESARWANI
first_choice,35.71,15.45,4.38,44.46
IGOR A. TREGUB,,41.91,35.06,53.97
MARGO SCHUELER,35.23,,48.34,39.10
MARY BEHM-STEINBERG,19.48,12.91,,6.93
RASHI KESARWANI,45.29,45.18,16.61,
