,C01,C02,C03,C04,C05,C06
first_choice,119.00,2609.00,3809.00,3106.00,57.00,78.00
C01,,286.00,197.00,109.00,9.00,7.00
C02,30.00,,708.00,659.00,9.00,19.00
C03,28.00,675.00,,1693.00,18.00,29.00
C04,18.00,719.00,2111.00,,16.00,12.00
C05,9.00,103.00,252.00,88.00,,3.00
C06,2.00,57.00,86.00,19.00,0.00,
exhaust,32.00,769.00,455.00,538.00,5.00,8.00
