,James Boris Perez,Lucrecia Bermudez,Miguel Bustos,Renee Saucedo,Steve Zeltzer,Tom Ammiano,writeIns
first_choice,2.34,4.13,17.48,22.10,3.24,50.64,0.07
James Boris Perez,,4.48,7.52,2.09,23.33,2.34,0.00
Lucrecia Bermudez,7.38,,10.06,15.23,5.09,6.77,0.00
Miguel Bustos,28.30,24.05,,21.45,14.64,19.65,17.65
Renee Saucedo,14.58,37.20,27.82,,18.49,48.63,11.76
Steve Zeltzer,12.52,4.19,5.57,3.02,,4.38,0.00
Tom Ammiano,15.95,18.50,29.48,46.64,19.35,,29.41
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,
exhaust,21.27,11.59,19.56,11.57,19.11,18.23,41.18
