,AARON PESKIN,JULIE CHRISTENSEN,WILMA PANG
first_choice,8767.00,7267.00,660.00
AARON PESKIN,,1249.00,154.00
JULIE CHRISTENSEN,1840.00,,228.00
WILMA PANG,2320.00,2188.00,
exhaust,4607.00,3830.00,278.00
