,ALFRED TWU,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
first_choice,10.62,56.18,30.40,2.80
ALFRED TWU,,25.11,30.62,27.56
LORI DROSTE,42.38,,55.14,39.10
MARY KAY LACEY,44.22,66.61,,33.33
RUSS TILLEMAN,13.40,8.28,14.23,
