,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES,writeIns
first_choice,25.57,46.79,26.78,0.85
BENJAMIN LANG,,29.84,34.11,6.21
JUMOKE HINTON HODGE,37.73,,33.24,9.04
RICHARD FUENTES,36.22,33.23,,7.91
writeIns,1.00,0.59,1.08,
exhaust,25.05,36.34,31.57,76.84
