,ALEX MILLER-COLE,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR.",LYNETTE GIBSON-MCELHANEY,NYEISHA DEWITT,SEAN SULLIVAN,writeIns
first_choice,9.07,14.27,8.87,23.57,17.68,25.96,0.60
ALEX MILLER-COLE,,6.20,7.83,9.85,14.56,22.14,25.00
DERRICK MUHAMMAD,11.57,,23.37,14.43,18.75,14.75,3.57
"LARRY LIONEL YOUNG, JR.",7.63,12.65,,10.24,11.80,9.07,21.43
LYNETTE GIBSON-MCELHANEY,25.27,24.21,19.35,,39.28,34.73,21.43
NYEISHA DEWITT,26.89,42.22,23.04,36.54,,18.79,17.86
SEAN SULLIVAN,27.73,14.38,26.00,28.50,15.22,,10.71
writeIns,0.90,0.32,0.39,0.44,0.40,0.52,
