,ABDI ABDULLE,ALONDRA CANO,CHARLES CURTIS,GREGORY MCDONALD,PAT FLEETHAM,TY MOORE,writeIns
first_choice,286.00,1698.00,338.00,117.00,153.00,1569.00,18.00
ABDI ABDULLE,,256.00,14.00,16.00,12.00,140.00,0.00
ALONDRA CANO,53.00,,90.00,24.00,25.00,847.00,1.00
CHARLES CURTIS,15.00,176.00,,7.00,25.00,157.00,0.00
GREGORY MCDONALD,9.00,89.00,23.00,,40.00,50.00,0.00
PAT FLEETHAM,14.00,187.00,48.00,42.00,,95.00,1.00
TY MOORE,36.00,619.00,76.00,12.00,25.00,,2.00
writeIns,1.00,10.00,2.00,0.00,1.00,19.00,
exhaust,158.00,361.00,85.00,16.00,25.00,261.00,14.00
