,BOB REUER,DAVID REGAN,LINEA PALMISANO,MATT PERRY,MISSY DURANT,writeIns
first_choice,7.16,1.90,42.57,38.85,9.43,0.10
BOB REUER,,60.30,1.77,5.96,3.35,10.00
DAVID REGAN,30.97,,0.72,2.36,1.22,10.00
LINEA PALMISANO,8.54,9.05,,51.96,47.26,30.00
MATT PERRY,19.49,11.06,53.26,,37.93,0.00
MISSY DURANT,3.47,3.52,27.76,22.27,,10.00
writeIns,0.80,0.50,0.20,0.32,0.00,
exhaust,36.72,15.58,16.28,17.13,10.24,40.00
