,David Ferguson,Doug Chan,Ed Jew,Houston Zheng,Jaynry Mak,Ron Dudum,writeIns
first_choice,1455.00,3236.00,5184.00,234.00,4569.00,5134.00,2.00
David Ferguson,,160.00,237.00,35.00,877.00,894.00,0.00
Doug Chan,110.00,,1602.00,49.00,789.00,925.00,0.00
Ed Jew,178.00,896.00,,61.00,1043.00,948.00,0.00
Houston Zheng,48.00,115.00,213.00,,109.00,92.00,0.00
Jaynry Mak,381.00,747.00,1551.00,40.00,,637.00,0.00
Ron Dudum,353.00,684.00,539.00,18.00,654.00,,0.00
writeIns,0.00,0.00,0.00,0.00,0.00,1.00,
exhaust,385.00,634.00,1042.00,31.00,1097.00,1637.00,2.00
