,Calvin Goings,Mike Lonergan,Pat McCarthy,Shawn Bunney,writeIns
first_choice,23.08,15.15,26.49,35.12,0.15
Calvin Goings,,23.87,72.24,23.51,16.42
Mike Lonergan,16.30,,16.92,53.14,35.82
Pat McCarthy,67.28,37.00,,22.07,14.93
Shawn Bunney,16.23,38.86,10.70,,32.84
writeIns,0.19,0.27,0.14,1.27,
