,LAWRENCE ''STARK'' DAGESSE,RAFAEL MANDELMAN
first_choice,3598.00,38406.00
LAWRENCE ''STARK'' DAGESSE,,9842.00
RAFAEL MANDELMAN,2070.00,
exhaust,1528.00,28564.00
