,BILLY BOB WHITMER,JULIAN P. LAGOS,SEAN R. ELSBERND,writeIns
first_choice,2994.00,5854.00,22105.00,212.00
BILLY BOB WHITMER,,3032.00,2594.00,9.00
JULIAN P. LAGOS,1745.00,,7190.00,37.00
SEAN R. ELSBERND,622.00,1783.00,,22.00
writeIns,7.00,11.00,73.00,
exhaust,620.00,1028.00,12248.00,144.00
