,AIDAN HILL,CECILIA ''CES'' ROSALES,RIGEL ROBINSON
first_choice,9.05,34.44,56.52
AIDAN HILL,,19.63,23.44
CECILIA ''CES'' ROSALES,38.39,,76.56
RIGEL ROBINSON,61.61,80.37,
