,Bruce Lundeen,David Schorn,Lisa Bender,Saralyn Romanishan,writeIns
first_choice,419.00,709.00,4886.00,1562.00,20.00
Bruce Lundeen,,61.00,85.00,47.00,0.00
David Schorn,97.00,,1036.00,605.00,2.00
Lisa Bender,62.00,187.00,,678.00,2.00
Saralyn Romanishan,51.00,322.00,1871.00,,3.00
writeIns,12.00,5.00,54.00,16.00,
exhaust,197.00,134.00,1840.00,216.00,13.00
