,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,writeIns
first_choice,48.49,37.01,14.14,0.36
AK Hassan,,33.26,31.61,5.77
Abdi Gurhan Mohamed,38.20,,20.30,3.85
Charles Exner,13.15,10.25,,7.69
writeIns,0.35,0.42,2.17,
exhaust,48.29,56.07,45.92,82.69
