,Chris Daly,Davy Jones,George Dias,"Manuel Jimenez, Jr.",Matt Drake,Rob Black,Robert Jordan,Viliam Dugovic
first_choice,8746.00,389.00,230.00,317.00,679.00,7115.00,125.00,340.00
Chris Daly,,73.00,37.00,64.00,96.00,1206.00,17.00,60.00
Davy Jones,689.00,,17.00,26.00,44.00,383.00,13.00,37.00
George Dias,217.00,24.00,,62.00,59.00,246.00,1.00,33.00
"Manuel Jimenez, Jr.",440.00,39.00,45.00,,46.00,574.00,11.00,19.00
Matt Drake,384.00,40.00,36.00,21.00,,1480.00,9.00,77.00
Rob Black,1710.00,67.00,35.00,57.00,212.00,,19.00,38.00
Robert Jordan,165.00,12.00,15.00,9.00,25.00,115.00,,13.00
Viliam Dugovic,619.00,38.00,10.00,5.00,48.00,261.00,8.00,
exhaust,4522.00,96.00,35.00,73.00,149.00,2850.00,47.00,63.00
