,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
first_choice,5.71,45.58,2.37,46.33
"Bond, Tiffany L.",,40.24,38.12,11.34
"DEM Golden, Jared F.",29.21,,17.50,6.94
"Hoar, William R.S.",34.07,13.90,,14.48
"REP Poliquin, Bruce",9.86,6.13,12.93,
exhaust,26.86,39.74,31.45,67.24
