,DEBORAH COX,EVA ARCE,KENNETH PON
first_choice,16190.00,3951.00,4708.00
DEBORAH COX,,1616.00,2003.00
EVA ARCE,5755.00,,1412.00
KENNETH PON,5322.00,1335.00,
exhaust,5113.00,1000.00,1293.00
