,Bruce Lundeen,David Schorn,Lisa Bender,Saralyn Romanishan,writeIns
first_choice,5.52,9.33,64.32,20.56,0.26
Bruce Lundeen,,8.60,1.74,3.01,0.00
David Schorn,23.15,,21.20,38.73,10.00
Lisa Bender,14.80,26.38,,43.41,10.00
Saralyn Romanishan,12.17,45.42,38.29,,15.00
writeIns,2.86,0.71,1.11,1.02,
exhaust,47.02,18.90,37.66,13.83,65.00
