,Bernie Kunza,John Malone,Liz Wielinski,writeIns
first_choice,15.56,9.67,74.20,0.56
Bernie Kunza,,57.61,62.81,16.67
John Malone,44.84,,35.75,16.67
Liz Wielinski,54.07,41.67,,66.67
writeIns,1.10,0.72,1.44,
