,BRUCE QUAN,FRANCIS ''MATT'' HUMMEL,NANCY SIDEBOTHAM,PEGGY MOORE,REBECCA KAPLAN
first_choice,27342.00,11593.00,5799.00,31925.00,83365.00
BRUCE QUAN,,2218.00,1302.00,8325.00,23841.00
FRANCIS ''MATT'' HUMMEL,3231.00,,1063.00,1958.00,5274.00
NANCY SIDEBOTHAM,2338.00,1611.00,,2719.00,4518.00
PEGGY MOORE,8187.00,1608.00,1011.00,,24289.00
REBECCA KAPLAN,8942.00,4527.00,1193.00,12744.00,
exhaust,4644.00,1629.00,1230.00,6179.00,25443.00
