,ALFRED TWU,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
first_choice,695.00,3677.00,1990.00,183.00
ALFRED TWU,,688.00,512.00,43.00
LORI DROSTE,253.00,,922.00,61.00
MARY KAY LACEY,264.00,1825.00,,52.00
RUSS TILLEMAN,80.00,227.00,238.00,
exhaust,98.00,937.00,318.00,27.00
