,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
first_choice,1010.00,273.00,741.00
"Crafts, Lydia V.",,133.00,406.00
"Levesque, David J.",316.00,,159.00
"Pieh, Wendy",556.00,97.00,
exhaust,138.00,43.00,176.00
