,BENNY LEE,DAN DILLMAN,JEROMEY SHAFER,PAULINE RUSSO CUTTER
first_choice,27.32,7.07,13.83,51.78
BENNY LEE,,27.03,23.04,41.86
DAN DILLMAN,14.15,,25.51,11.49
JEROMEY SHAFER,14.56,23.96,,17.95
PAULINE RUSSO CUTTER,42.31,26.48,29.69,
exhaust,28.97,22.53,21.75,28.70
