,ANDY THORNLEY,BRIAN J. LARKIN,DAVID LEE,JASON JUNGREIS,JONATHAN LYENS,MARJAN PHILHOUR,RICHIE GREENBERG,SAMUEL KWONG,SANDRA LEE FEWER,SHERMAN R. D'SILVA
first_choice,360.00,747.00,3402.00,612.00,611.00,11099.00,980.00,744.00,12568.00,558.00
ANDY THORNLEY,,37.00,28.00,18.00,21.00,164.00,29.00,3.00,315.00,12.00
BRIAN J. LARKIN,26.00,,109.00,48.00,49.00,363.00,154.00,36.00,210.00,55.00
DAVID LEE,12.00,77.00,,53.00,62.00,2329.00,101.00,225.00,2426.00,79.00
JASON JUNGREIS,16.00,60.00,45.00,,23.00,212.00,74.00,20.00,183.00,28.00
JONATHAN LYENS,43.00,90.00,144.00,42.00,,389.00,53.00,17.00,941.00,27.00
MARJAN PHILHOUR,68.00,112.00,836.00,88.00,122.00,,181.00,174.00,4156.00,110.00
RICHIE GREENBERG,10.00,85.00,102.00,166.00,43.00,532.00,,102.00,304.00,58.00
SAMUEL KWONG,4.00,53.00,428.00,24.00,24.00,400.00,56.00,,201.00,16.00
SANDRA LEE FEWER,139.00,96.00,1100.00,55.00,173.00,3991.00,91.00,60.00,,87.00
SHERMAN R. D'SILVA,9.00,60.00,104.00,62.00,38.00,253.00,69.00,28.00,247.00,
exhaust,33.00,77.00,506.00,56.00,56.00,2466.00,172.00,79.00,3585.00,86.00
