,DAVID LUCE,JON OLSON,writeIns
first_choice,1931.00,4070.00,53.00
DAVID LUCE,,1642.00,5.00
JON OLSON,1039.00,,12.00
writeIns,15.00,43.00,
exhaust,877.00,2385.00,36.00
