,Andrew Johnson,Harrison Bullard,Will Jaeger,writeIns
first_choice,87.15,3.10,9.41,0.34
Andrew Johnson,,34.81,32.57,8.57
Harrison Bullard,15.25,,33.51,14.29
Will Jaeger,18.01,45.25,,2.86
writeIns,0.99,0.95,0.84,
exhaust,65.76,18.99,33.09,74.29
