,ASALE CHANDLER,GLORIA BERRY,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,UZURI PEASE-GREENE,writeIns
first_choice,3.46,4.16,41.33,20.78,24.48,5.65,0.13
ASALE CHANDLER,,28.67,4.06,4.21,4.77,8.31,4.35
GLORIA BERRY,33.18,,5.53,8.34,5.44,8.85,0.00
SHAMANN WALTON,17.20,21.00,,55.91,32.49,33.33,26.09
THEO ELLINGTON,14.00,17.44,58.40,,18.26,15.90,21.74
TONY KELLY,20.09,22.99,21.79,22.00,,33.51,34.78
UZURI PEASE-GREENE,15.53,9.78,10.12,9.44,39.03,,13.04
writeIns,0.00,0.13,0.10,0.10,0.00,0.09,
