,Chris Daly,Davy Jones,George Dias,"Manuel Jimenez, Jr.",Matt Drake,Rob Black,Robert Jordan,Viliam Dugovic
first_choice,48.75,2.17,1.28,1.77,3.78,39.66,0.70,1.90
Chris Daly,,18.77,16.09,20.19,14.14,16.95,13.60,17.65
Davy Jones,7.88,,7.39,8.20,6.48,5.38,10.40,10.88
George Dias,2.48,6.17,,19.56,8.69,3.46,0.80,9.71
"Manuel Jimenez, Jr.",5.03,10.03,19.57,,6.77,8.07,8.80,5.59
Matt Drake,4.39,10.28,15.65,6.62,,20.80,7.20,22.65
Rob Black,19.55,17.22,15.22,17.98,31.22,,15.20,11.18
Robert Jordan,1.89,3.08,6.52,2.84,3.68,1.62,,3.82
Viliam Dugovic,7.08,9.77,4.35,1.58,7.07,3.67,6.40,
exhaust,51.70,24.68,15.22,23.03,21.94,40.06,37.60,18.53
