,Carol Romero-Wirth,Joe H. Arellano,Nate Downey
first_choice,52.91,14.75,32.34
Carol Romero-Wirth,,43.01,71.38
Joe H. Arellano,17.04,,14.98
Nate Downey,65.41,28.82,
exhaust,17.55,28.17,13.64
