,Bernie Kunza,John Malone,Liz Wielinski,writeIns
first_choice,15.56,9.67,74.20,0.56
Bernie Kunza,,28.14,18.15,3.03
John Malone,22.44,,10.33,3.03
Liz Wielinski,27.06,20.35,,12.12
writeIns,0.55,0.35,0.42,
exhaust,49.94,51.15,71.10,81.82
