,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,34.00,186.00,4054.00,4.00,738.00,8585.00,262.00,153.00,15.00,446.00,106.00
Amy Klobuchar,,3.00,13.00,0.00,38.00,267.00,5.00,15.00,0.00,7.00,0.00
Andrew Yang,1.00,,207.00,1.00,30.00,118.00,6.00,11.00,4.00,30.00,1.00
Bernie Sanders,4.00,49.00,,1.00,340.00,1791.00,29.00,18.00,2.00,129.00,5.00
Deval Patrick,1.00,3.00,1.00,,0.00,2.00,0.00,0.00,0.00,1.00,0.00
Elizabeth Warren,6.00,38.00,1029.00,0.00,,832.00,15.00,17.00,2.00,14.00,1.00
Joseph R. Biden,12.00,27.00,1231.00,1.00,233.00,,133.00,65.00,2.00,72.00,11.00
Michael R.,1.00,4.00,40.00,0.00,10.00,589.00,,8.00,4.00,35.00,3.00
Pete Buttigieg,6.00,11.00,41.00,0.00,28.00,322.00,17.00,,0.00,6.00,0.00
Tom Steyer,0.00,6.00,11.00,0.00,5.00,22.00,4.00,1.00,,3.00,0.00
Tulsi Gabbard,1.00,16.00,272.00,0.00,6.00,118.00,8.00,5.00,0.00,,2.00
Uncommitted,0.00,2.00,122.00,0.00,2.00,120.00,1.00,0.00,0.00,12.00,
exhaust,2.00,27.00,1087.00,1.00,46.00,4404.00,44.00,13.00,1.00,137.00,83.00
