,Arron Peskin,Brian Murphy 0'flynn,Eugene Chi-ching Wong,Sal Busalacchi
first_choice,62.45,17.77,13.78,6.00
Arron Peskin,,26.59,37.71,19.81
Brian Murphy 0'flynn,30.98,,27.29,51.96
Eugene Chi-ching Wong,22.78,26.22,,16.21
Sal Busalacchi,11.56,34.95,12.58,
exhaust,34.69,12.25,22.42,12.03
