,JOHN ROBINSON,ROSS MIRKARIMI,VICKI HENNESSY
first_choice,5.94,33.07,61.00
JOHN ROBINSON,,24.85,65.08
ROSS MIRKARIMI,27.49,,34.92
VICKI HENNESSY,72.51,75.15,
