,JENNIFER S. PAE,PATRICIA KERNIGHAN,writeIns
first_choice,33.77,65.68,0.55
JENNIFER S. PAE,,96.27,52.00
PATRICIA KERNIGHAN,93.49,,48.00
writeIns,6.51,3.73,
